PersonID,weight,hhsize,childnum,faminc,faminc25K,income,employed,fulltime,spousepr,spousemp,male,married,age,age2,age15_40,age41_60,age61_85,bachigher,white,metro,diaryday,Sunday,holiday,weekearn,weekwordur,hhchild,ohhchild,t1,t2,t3,t4,number_chosen
2960,0.588754014,2,0,13,0,67.5,0,0,1,0,1,1,85,7225,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,0,120,480,45,3
2961,0.593559155,2,0,14,0,87.5,1,1,1,1,1,1,54,2916,0,1,0,1,1,1,7,0,0,1223.07,60,0,0,0,0,0,15,1
2962,0.581266493,3,1,15,0,125.0,0,0,0,0,0,0,18,324,1,0,0,0,1,1,1,1,0,-1.0,-1,1,0,20,90,50,240,4
2963,0.496519368,2,0,14,0,87.5,0,0,1,0,0,1,72,5184,0,0,1,1,1,1,1,1,0,-1.0,-1,0,0,70,120,70,85,4
2964,0.565421733,5,2,15,0,125.0,1,1,1,1,0,0,55,3025,0,1,0,0,1,1,7,0,0,640.0,54,1,1,195,20,0,30,3
2965,1.145946906,4,2,16,0,150.0,0,0,0,0,0,0,15,225,1,0,0,0,1,1,1,1,0,-1.0,-1,1,0,60,0,180,60,3
2966,0.500029728,1,0,1,1,2.5,0,0,0,0,1,0,42,1764,0,1,0,0,0,1,7,0,0,-1.0,-1,0,0,60,10,0,0,2
2967,2.495763195,4,0,15,0,125.0,0,0,0,0,1,0,22,484,1,0,0,0,1,1,1,1,0,-1.0,-1,0,0,0,0,0,25,1
2968,0.353908804,1,0,5,1,13.75,0,0,0,0,1,0,60,3600,0,1,0,0,1,1,7,0,0,-1.0,-1,0,0,0,0,0,60,1
2969,0.439965842,1,0,9,0,32.5,1,1,0,0,0,0,65,4225,0,0,1,0,1,1,1,1,0,673.07,36,0,0,70,0,0,65,2
2970,0.300600276,1,0,12,0,55.0,1,1,0,0,1,0,57,3249,0,1,0,0,0,1,7,0,0,1040.0,40,0,0,33,165,30,47,4
2971,0.481044429,1,0,8,0,27.5,1,1,0,0,1,0,48,2304,0,1,0,0,0,1,1,1,0,538.46,35,0,0,0,45,375,0,2
2972,0.822596317,5,1,16,0,150.0,1,1,1,1,0,1,53,2809,0,1,0,1,0,1,1,1,0,1057.69,40,1,1,0,0,0,45,1
2973,0.231843745,4,2,15,0,125.0,0,0,1,1,0,1,45,2025,0,1,0,1,1,1,1,1,0,-1.0,-1,1,1,30,105,60,50,4
2974,0.98920712,4,2,10,0,37.5,0,0,1,1,0,0,37,1369,1,0,0,0,1,1,1,1,0,-1.0,-1,1,1,45,135,0,30,3
2975,0.444100577,2,0,3,1,8.75,0,0,1,0,0,1,78,6084,0,0,1,1,1,0,7,0,0,-1.0,-1,0,0,0,120,0,0,1
2976,0.387670933,1,0,10,0,37.5,1,1,0,0,0,0,60,3600,0,1,0,0,1,1,7,0,0,685.0,45,0,0,0,60,0,45,2
2977,0.471056567,2,0,10,0,37.5,0,0,1,0,1,1,71,5041,0,0,1,0,1,0,7,0,0,-1.0,-1,0,0,0,40,0,0,1
2978,0.603831978,2,0,9,0,32.5,1,1,1,0,0,1,70,4900,0,0,1,0,1,0,7,0,0,275.0,39,0,0,60,0,0,30,2
2979,0.243883463,1,0,12,0,55.0,0,0,0,0,1,0,64,4096,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,35,0,0,0,1
2980,0.280187432,1,0,13,0,67.5,1,0,0,0,0,0,52,2704,0,1,0,0,1,1,7,0,0,788.46,30,0,0,0,0,420,90,2
2981,0.207309118,1,0,14,0,87.5,0,0,0,0,0,0,72,5184,0,0,1,1,1,1,1,1,0,-1.0,-1,0,0,45,0,0,148,2
2982,0.767215071,5,2,16,0,150.0,1,1,1,1,1,1,40,1600,1,0,0,0,1,1,1,1,0,1923.07,42,1,1,15,60,0,30,3
2983,0.21599668,5,3,14,0,87.5,1,1,1,1,1,1,36,1296,1,0,0,1,1,0,1,1,0,1350.0,40,1,1,0,0,0,15,1
2984,1.055384457,3,0,10,0,37.5,1,0,1,0,0,1,74,5476,0,0,1,0,0,1,1,1,0,264.0,24,0,0,0,197,0,130,2
2985,1.421624146,2,0,9,0,32.5,1,0,0,0,1,0,43,1849,0,1,0,0,1,1,7,0,0,269.23,20,0,0,0,90,0,0,1
2986,0.586308827,2,0,11,0,45.0,1,0,1,1,1,1,60,3600,0,1,0,0,0,1,7,0,0,-1.0,30,0,0,0,0,0,120,1
2988,0.424432993,1,0,1,1,2.5,0,0,0,0,0,0,61,3721,0,0,1,0,1,1,7,0,0,-1.0,-1,0,0,90,0,0,77,2
2989,0.314964495,1,0,8,0,27.5,0,0,0,0,0,0,80,6400,0,0,1,0,0,1,7,0,0,-1.0,-1,0,0,100,0,0,80,2
2990,0.896664057,4,1,12,0,55.0,1,1,1,1,1,1,59,3481,0,1,0,0,1,1,7,0,0,712.0,40,1,1,60,270,0,0,2
2991,0.648406114,3,1,10,0,37.5,1,1,1,1,1,0,46,2116,0,1,0,0,1,1,7,0,0,526.0,40,1,0,0,635,0,20,2
2992,1.244508464,4,0,16,0,150.0,1,1,1,0,0,1,63,3969,0,0,1,1,1,1,1,1,0,2500.0,40,0,0,110,20,150,40,4
2993,0.619249269,3,0,16,0,150.0,0,0,1,1,1,1,65,4225,0,0,1,1,1,1,7,0,0,-1.0,-1,0,0,0,270,0,0,1
2994,0.700036943,5,2,9,0,32.5,1,0,1,0,0,1,53,2809,0,1,0,0,1,1,1,1,0,260.0,20,1,0,0,0,0,30,1
2995,0.665242806,2,0,12,0,55.0,1,1,0,0,0,0,40,1600,1,0,0,0,0,1,1,1,0,451.0,35,0,0,0,45,0,60,2
2996,0.339054287,4,2,12,0,55.0,1,1,1,0,1,1,38,1444,1,0,0,1,1,0,7,0,0,1051.0,40,1,1,10,0,120,0,2
2997,0.510484122,1,0,3,1,8.75,0,0,0,0,0,0,24,576,1,0,0,1,0,1,1,1,0,-1.0,-1,0,0,0,0,90,0,1
2998,0.294571922,1,0,13,0,67.5,1,1,0,0,1,0,61,3721,0,0,1,0,1,0,1,1,0,1198.0,45,0,0,0,500,0,60,2
2999,0.26428552,3,1,16,0,150.0,1,1,1,0,0,1,64,4096,0,0,1,0,1,0,7,0,0,836.0,38,1,0,75,60,90,60,4
3000,0.216394782,1,0,12,0,55.0,1,0,0,0,1,1,64,4096,0,0,1,1,1,1,1,1,0,1057.69,24,0,0,15,345,0,145,3
3001,0.24334916,4,2,14,0,87.5,1,1,1,0,1,1,53,2809,0,1,0,0,0,1,7,0,0,2884.61,80,1,1,0,0,0,50,1
3003,0.875705248,5,3,11,0,45.0,0,0,1,1,0,1,31,961,1,0,0,0,1,0,1,1,0,-1.0,-1,1,1,0,330,60,105,3
3004,0.272344397,1,0,11,0,45.0,0,0,0,0,1,0,62,3844,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,0,0,0,15,1
3006,1.504077392,4,1,15,0,125.0,1,1,0,0,1,0,22,484,1,0,0,0,1,1,7,0,0,450.0,50,1,0,10,0,0,0,1
3007,0.548466604,2,0,12,0,55.0,0,0,1,1,1,1,60,3600,0,1,0,0,1,0,1,1,0,-1.0,-1,0,0,0,270,60,45,3
3008,0.733074929,2,0,3,1,8.75,1,0,1,0,0,1,70,4900,0,0,1,0,1,0,1,1,0,153.0,-1,0,0,110,5,0,30,3
3009,0.499723372,1,0,5,1,13.75,0,0,0,0,0,0,68,4624,0,0,1,0,1,0,7,0,0,-1.0,-1,0,0,0,60,0,0,1
3010,1.159631755,4,1,13,0,67.5,1,0,0,0,0,0,18,324,1,0,0,0,1,1,7,0,0,300.0,20,1,0,45,0,0,0,1
3011,0.528852734,2,0,15,0,125.0,1,1,0,0,1,0,58,3364,0,1,0,1,0,1,7,0,0,1647.76,42,0,0,45,425,0,65,3
3012,0.643069318,2,0,15,0,125.0,1,0,1,0,1,1,78,6084,0,0,1,1,1,1,7,0,0,1038.46,20,0,0,80,60,60,130,4
3013,0.575693058,4,1,13,0,67.5,1,1,1,1,0,1,53,2809,0,1,0,1,1,1,7,0,0,969.23,40,1,1,30,220,176,177,4
3014,1.163067222,9,5,15,0,125.0,1,0,0,0,0,0,18,324,1,0,0,0,0,1,1,1,0,221.0,10,1,0,10,210,0,95,3
3015,0.655572432,5,3,10,0,37.5,1,1,1,1,0,0,33,1089,1,0,0,0,1,0,1,1,0,538.46,40,1,1,35,0,0,90,2
3016,0.318792727,3,2,15,0,125.0,1,1,0,0,0,0,45,2025,0,1,0,0,1,1,7,0,0,2884.61,50,1,1,0,491,20,80,3
3017,0.678975533,6,2,11,0,45.0,0,0,0,0,1,0,38,1444,1,0,0,0,1,0,1,1,0,-1.0,-1,1,0,0,30,0,20,2
3018,0.339054287,3,1,13,0,67.5,1,1,1,1,1,1,35,1225,1,0,0,0,1,0,7,0,0,540.0,40,1,1,0,0,60,0,1
3019,0.442787221,2,0,10,0,37.5,0,0,1,0,1,1,85,7225,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,0,100,0,10,2
